Nev;Tipus;Tamadas;Vedekezes;Generacio
Bulbasaur;Grass;49;49;1
Ivysaur;Grass;62;63;1
Venusaur;Grass;82;83;1
Charmander;Fire;52;43;1
Charmeleon;Fire;64;58;1
Charizard;Fire;84;78;1
Squirtle;Water;48;65;1
Wartortle;Water;63;80;1
Blastoise;Water;83;100;1
Caterpie;Bug;30;35;1
Metapod;Bug;20;55;1
Butterfree;Bug;45;50;1
Weedle;Bug;35;30;1
Kakuna;Bug;25;50;1
Beedrill;Bug;90;40;1
Pidgey;Normal;45;40;1
Pidgeotto;Normal;60;55;1
Pidgeot;Normal;80;75;4
Rattata;Normal;56;35;4
Raticate;Normal;81;60;3
Spearow;Normal;60;30;3
Fearow;Normal;90;65;1
Ekans;Poison;60;44;1
Arbok;Poison;95;69;1
Pikachu;Electric;55;40;1
Raichu;Electric;90;55;1
Sandshrew;Ground;75;85;1
Sandslash;Ground;100;110;1
Nidoran F;Poison;47;52;2
Nidorina;Poison;62;67;2
